gameCreation,gameDuration,championName,win,totalPings,allInPings,baitPings,basicPings,commandPings,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings
16-05-2023,00:27:32,Aphelios,true,true,0,0,0,7,0,0,3,0,0,0,2,0
15-05-2023,00:29:33,Aphelios,true,true,0,0,0,5,0,0,2,0,0,0,5,0
15-05-2023,00:34:34,Zed,false,false,0,0,0,3,0,2,5,0,0,0,0,0
15-05-2023,00:34:29,LeeSin,false,false,0,0,0,0,0,1,8,0,0,0,2,0
15-05-2023,00:24:50,Zeri,true,true,0,0,0,1,0,1,4,0,0,1,3,0
14-05-2023,00:37:43,Lucian,true,true,0,0,0,2,0,3,11,0,0,0,4,0
14-05-2023,00:31:43,Ezreal,true,true,0,1,0,0,0,0,0,0,0,0,0,0
14-05-2023,00:34:26,Aphelios,false,false,0,0,0,4,0,4,2,0,1,0,3,0
14-05-2023,00:27:28,Aphelios,false,false,0,0,0,4,0,3,2,0,0,0,1,0
14-05-2023,00:23:58,Aphelios,true,true,0,0,0,0,0,8,3,0,0,0,0,0
14-05-2023,00:18:41,Zeri,true,true,0,0,0,0,0,0,3,0,0,0,0,0
14-05-2023,00:37:20,Vayne,false,false,0,0,0,2,0,0,12,0,0,0,3,0
14-05-2023,00:29:17,Ezreal,true,true,0,0,0,2,0,1,7,0,0,0,0,0
14-05-2023,00:15:17,Jinx,true,true,0,0,0,1,0,0,2,0,0,0,0,0
13-05-2023,00:23:34,Aphelios,false,false,0,0,0,0,0,0,4,0,0,0,1,0
13-05-2023,00:26:14,Samira,false,false,0,0,0,1,0,1,7,0,0,0,5,0
13-05-2023,00:23:38,Jinx,true,true,0,0,0,0,0,2,2,0,0,0,1,0
13-05-2023,00:20:50,Kaisa,true,true,0,0,0,0,0,3,5,0,0,0,2,0
12-05-2023,00:33:44,Twitch,false,false,0,0,0,6,0,0,4,0,1,0,5,0
12-05-2023,00:28:10,Aphelios,true,true,0,0,0,0,0,0,4,0,0,0,1,1
12-05-2023,00:43:43,Lux,false,false,0,0,0,1,0,0,7,0,0,0,1,0
12-05-2023,00:39:55,LeeSin,false,false,0,0,0,5,0,3,5,0,0,0,9,0
12-05-2023,00:37:59,Yasuo,false,false,0,0,0,7,0,2,1,0,1,0,3,0
11-05-2023,00:26:08,Kaisa,false,false,0,0,0,0,0,5,0,0,0,0,8,0
11-05-2023,00:24:05,Rakan,false,false,0,0,0,7,0,0,1,0,0,0,4,0
11-05-2023,00:24:44,Thresh,false,false,0,0,0,1,0,0,2,0,0,0,2,0
09-05-2023,00:31:17,Ezreal,false,false,0,0,0,2,0,10,0,0,0,0,2,0
09-05-2023,00:22:15,Kaisa,true,true,0,0,0,1,0,0,1,0,0,0,3,0
09-05-2023,00:27:37,Kaisa,false,false,0,0,0,0,0,6,3,0,3,1,12,0
08-05-2023,00:22:10,Thresh,false,false,0,0,0,3,0,1,1,0,0,0,2,0
08-05-2023,00:26:48,Pyke,true,true,2,0,0,2,0,0,4,0,0,0,8,0
08-05-2023,00:30:23,Jinx,false,false,0,0,0,1,0,2,3,0,1,0,2,0
07-05-2023,00:26:40,Gragas,true,true,0,0,0,2,0,1,3,0,0,0,0,0
07-05-2023,00:23:47,Irelia,false,false,0,0,0,0,0,0,7,0,0,0,0,0
04-05-2023,00:29:44,Thresh,false,false,0,0,0,2,0,0,4,0,2,0,2,1
03-05-2023,00:28:02,Twitch,true,true,0,0,0,2,0,2,5,0,2,0,6,0
03-05-2023,00:15:31,Jinx,true,true,1,0,0,0,0,0,1,0,0,0,2,0
02-05-2023,00:33:11,Kaisa,false,false,0,0,0,6,0,6,2,0,1,0,12,0
02-05-2023,00:33:02,Ekko,false,false,0,0,0,1,0,3,1,0,0,0,1,0
02-05-2023,00:15:54,Talon,true,true,0,0,0,3,0,0,8,0,0,0,3,0
01-05-2023,00:18:43,Zeri,true,true,0,0,0,0,0,2,3,0,0,0,3,0
01-05-2023,00:29:49,Jinx,true,true,0,0,0,1,0,1,2,0,0,0,2,0
01-05-2023,00:19:03,Xayah,true,true,0,0,0,2,0,2,0,0,0,0,1,0
01-05-2023,00:34:21,KSante,true,true,0,0,0,5,0,16,0,0,0,0,8,1
30-04-2023,00:34:33,Zeri,true,true,0,0,0,3,0,3,4,0,0,0,7,0
28-04-2023,00:35:02,Gragas,false,false,1,0,0,4,0,12,6,0,1,1,13,1
28-04-2023,00:22:33,Jinx,true,true,0,1,0,2,0,0,1,0,0,0,2,0
26-04-2023,00:28:42,Jinx,false,false,0,0,0,2,0,2,6,0,0,0,5,0
25-04-2023,00:33:01,Vayne,false,false,1,0,0,3,0,1,3,0,0,0,6,0
25-04-2023,00:30:35,Ezreal,false,false,0,0,0,2,0,1,6,0,0,0,1,0
25-04-2023,00:11:34,Jinx,true,true,0,0,0,0,0,3,2,0,0,0,0,0
24-04-2023,00:31:48,Jinx,false,false,0,0,0,1,0,9,2,0,0,0,7,0
23-04-2023,00:19:39,Ezreal,false,false,0,0,0,1,0,1,2,0,0,1,2,0
20-04-2023,00:24:02,Irelia,false,false,0,0,0,0,0,0,3,0,0,0,3,0
19-04-2023,00:26:59,Draven,false,false,0,0,0,0,0,0,2,0,0,0,0,0
18-04-2023,00:34:05,Kaisa,false,false,0,0,0,1,0,2,2,0,0,0,4,0
18-04-2023,00:28:45,Aphelios,true,true,0,0,0,0,0,0,2,0,0,0,0,0
18-04-2023,00:26:49,Ashe,true,true,0,0,0,1,0,2,1,0,0,0,4,0
18-04-2023,00:23:27,Lucian,true,true,2,0,0,0,0,0,1,0,0,0,1,0
18-04-2023,00:28:27,Varus,false,false,0,0,0,0,0,2,0,0,0,0,5,1
18-04-2023,00:15:14,Varus,true,true,0,0,0,0,0,0,4,0,0,0,0,0
18-04-2023,00:15:36,Draven,true,true,0,0,0,0,0,0,3,0,0,0,0,0
