gameDuration,championName,win,allInPings,baitPings,basicPings,commandPings,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings
00:01:59,Rakan,true,0,0,0,0,0,0,0,0,0,0,0,0
00:17:01,Jinx,true,0,1,0,8,0,0,0,0,0,1,4,0
00:32:59,Veigar,false,0,0,0,9,0,5,5,1,0,0,5,0
00:27:37,Thresh,false,0,0,0,11,0,1,1,1,0,0,4,0
00:22:39,Lulu,true,0,0,0,4,0,4,1,0,0,0,8,0
00:25:07,Ezreal,false,0,0,0,2,0,7,0,2,0,0,8,0
00:32:02,Maokai,false,0,1,0,17,0,2,0,0,0,0,22,0
00:24:53,Ezreal,false,0,0,0,11,0,2,0,1,0,0,4,0
00:42:33,Ezreal,true,1,0,0,21,0,0,1,3,0,0,7,0
00:22:42,Rakan,false,0,0,0,15,0,5,1,1,0,0,20,0
00:01:43,Zeri,true,0,0,0,2,0,0,1,0,0,0,0,0
00:12:18,Zeri,true,0,0,0,0,0,3,0,0,0,0,1,0
00:25:55,Zeri,false,0,0,0,4,0,3,0,3,0,0,1,0
00:25:11,Zeri,false,1,0,0,4,0,0,0,2,0,0,0,0
00:26:18,Xayah,false,0,0,0,8,0,2,1,1,0,0,7,0
00:37:57,Ahri,false,0,1,0,9,0,2,3,0,0,0,30,0
00:28:58,Draven,true,0,0,0,12,0,5,1,0,0,0,18,0
00:20:52,Ezreal,true,0,0,0,1,0,1,1,0,0,0,3,0
00:27:26,Sivir,false,0,3,0,6,0,4,0,0,0,0,5,0
00:29:32,Caitlyn,true,1,0,0,17,0,6,0,3,0,1,15,0
00:21:58,Zeri,false,0,1,0,13,0,6,2,0,0,0,6,0
00:21:04,Sion,true,1,0,0,5,0,1,2,1,0,0,9,0
00:24:43,Xayah,true,1,0,0,7,0,1,4,0,0,0,18,0
00:23:38,Xayah,false,0,0,0,25,0,5,3,3,0,0,14,0
00:33:53,Xayah,true,1,0,0,25,0,4,1,1,0,0,17,1
00:24:28,Ezreal,true,1,1,0,3,0,0,0,4,0,0,9,0
00:29:23,Jayce,true,0,0,0,9,0,3,0,3,0,0,15,0
00:32:14,Ezreal,false,3,0,0,5,0,3,0,0,1,1,15,0
00:26:05,Caitlyn,true,0,0,0,18,0,3,0,0,1,0,5,0
00:36:59,Xayah,true,1,0,0,43,0,4,1,4,3,0,26,0
00:19:14,Viktor,false,0,0,0,7,0,10,1,0,0,0,2,0
00:24:07,Zoe,false,0,0,0,9,0,14,0,0,0,0,9,0
00:18:33,Xayah,true,0,0,0,8,0,0,2,0,0,0,1,1
00:39:55,Zeri,true,1,0,0,41,0,1,2,10,0,0,29,0
00:28:20,Zeri,true,2,0,0,15,0,3,1,1,0,0,8,0
00:16:06,Ahri,true,1,1,0,9,0,3,0,2,1,0,19,0
00:23:33,Aphelios,true,0,0,0,9,0,2,1,2,0,0,10,0
00:20:40,Zeri,true,0,0,0,4,0,1,0,0,0,0,11,0
00:18:23,Viktor,true,0,0,0,6,0,6,1,0,0,0,21,1
00:31:03,Caitlyn,true,0,1,0,11,0,1,2,8,6,0,44,0
00:22:45,Viktor,true,1,0,0,6,0,2,1,0,0,0,3,0
00:28:53,Lucian,true,0,0,0,15,0,2,6,1,0,0,11,0
00:33:11,Viktor,true,0,0,0,9,0,11,1,3,0,0,20,0
00:25:18,Zeri,true,0,0,0,4,0,2,1,1,0,0,6,0
00:15:32,Viktor,true,0,0,0,3,0,1,1,0,0,0,4,0
